transactionId,customerId,accountId,transactionType,amount,timestamp
1,103,10000,withdrawal,714.25,Fri Dec 06 12:30:05 EST 2013
2,109,10000,withdrawal,750.34,Tue Mar 27 08:18:12 EDT 2012
3,117,10000,deposit,514.15,Sat Mar 25 21:17:25 EDT 2017
4,106,10001,deposit,364.60,Fri Mar 09 15:34:16 EST 2012
5,119,10001,deposit,798.86,Wed May 22 01:34:18 EDT 2013
6,109,10001,deposit,114.17,Sun Aug 26 13:43:56 EDT 2012
7,105,10000,withdrawal,606.80,Wed Nov 16 19:42:38 EST 2016
8,116,10002,deposit,630.88,Fri Jun 29 14:00:23 EDT 2018
9,115,10002,deposit,190.37,Sun Mar 08 19:20:37 EDT 2015
10,110,10002,withdrawal,243.98,Wed Jan 03 08:14:04 EST 2018
11,118,10001,withdrawal,363.58,Tue Apr 09 04:39:14 EDT 2013
12,113,10002,withdrawal,513.90,Mon May 30 04:56:57 EDT 2016
13,114,10000,deposit,506.35,Mon Dec 11 09:16:02 EST 2017
14,102,10002,withdrawal,837.58,Sun Dec 17 03:37:31 EST 2017
15,103,10000,withdrawal,265.38,Mon Mar 27 18:18:04 EDT 2017
16,107,10000,deposit,269.13,Thu Oct 18 20:37:17 EDT 2018
17,112,10002,withdrawal,686.68,Mon Dec 21 15:21:17 EST 2015
18,113,10002,deposit,116.01,Thu Dec 13 10:32:13 EST 2012
19,104,10001,deposit,613.54,Wed Aug 13 10:40:13 EDT 2014
20,119,10002,deposit,829.71,Sat Oct 28 14:37:33 EDT 2017
21,114,10002,deposit,514.01,Mon Jan 09 09:24:40 EST 2012
22,113,10001,deposit,669.30,Wed Oct 16 11:46:09 EDT 2013
23,114,10001,withdrawal,379.31,Sat Jan 07 22:51:21 EST 2012
24,103,10000,deposit,680.89,Thu Sep 06 03:58:02 EDT 2018
25,116,10002,withdrawal,530.16,Sat Jul 08 07:18:34 EDT 2017
26,117,10000,withdrawal,704.45,Wed May 11 18:10:15 EDT 2016
27,108,10000,deposit,187.77,Tue Feb 10 02:02:40 EST 2015
28,115,10002,withdrawal,261.55,Sat Apr 29 01:10:18 EDT 2017
29,101,10000,deposit,138.23,Tue Jan 07 01:24:51 EST 2014
30,103,10002,withdrawal,629.68,Mon Aug 25 05:04:01 EDT 2014
31,103,10000,withdrawal,592.18,Sat Mar 09 10:26:56 EST 2013
32,100,10000,deposit,605.31,Mon Mar 11 06:48:47 EDT 2013
